OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
122,Halegua,Alfredo,,"Untitled ""Turning Point""",1969,aluminum,21216,Walbrook HS,2000 Edgewood St.,PS 411,Courtyard,,,,,"2000 Edgewood St.21216
(39.31021379444991, -76.67596885657127)",83,45,27297,a872bead-7892-4c57-a3be-5f2bba0d64df
123,"Amateis, artist and Fowler, architect",Edmond Romulos and Lawren,https://data.baltimorecity.gov/views/5xsg-uc29/files/U0aYxZSoECvC27jtVilyMfO492OHkrgNZr60qZm37LU?filename=330_Amateis_1925.jpg,War Memorial: Aquatic Horses,1925-27,limestone,21202,City Hall Plaza,"Gay St., between Fayette and Lexington",,Flanking stairs to front enterance,,,,Y,"Gay St., between Fayette and Lexington21202
(39.297300000000064, -76.60749999999996)",196,108,13645,219256fb-1116-411f-aa0d-1ac2b09c5a75
124,Miller,Tom,,,1991,mural,21213,1339 E. North Ave.,1339 E. North Ave.,,Two murals on west and east side of Harford Rd. at North Ave.,"Two murals; man reading and boy playing",Very Visible (on Harford Rd.),,,"1339 E. North Ave.21213
(39.31189552664472, -76.59960742306345)",180,193,26956,523b962d-c500-413b-a1f5-9a55d8f76e50
125,Drumm,Don,,Unknown,,acrylic,21213,Harford Heights ES,1901 N. Broadway,PS  36,"Interior; lower level hallway",,,,,"1901 N. Broadway21213
(39.31218396061025, -76.59495781180001)",226,155,26956,a7f25db6-25b8-4129-b74c-3b53dc9aea45
126,Mullen,Gary,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,fc2f22cd-e8bc-43b8-a3a0-1582b91067d9
127,Hoffmaster,Thomas,,Unknown,1971,metal sculpture,21217,Druid Health District Building,1501 W. North Ave.,,Interior- addition,,,,,"1501 W. North Ave.21217
(39.310050554187534, -76.6411534591562)",66,98,27301,0d230b2a-e2cb-4449-80c1-fde5ed05eab3
128,Moring,Greg,,Westside,,aluminum,21229,Edmondson-Westside Sr. HS,4501 Edmondson Ave.,,Western entrance,,,,,"4501 Edmondson Ave.21229
(39.29334251318022, -76.69151813445791)",239,52,27950,efa1b4d2-1aa6-4a2e-a207-0679ca00d679
129,van Rossum,Peter,,Untitled,1968,stone aggregate,21217,Rosemont ES,2777 Presstman St.,PS  63,Building façade,,,,,"2777 Presstman St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,eedd78aa-2e09-4ead-aea3-596cd82deb00
130,Woman's Mural Project and Ferguson,Mary Carfagno,,,1996,mural (non-city funded),21223,1123 W. Mulberry St.,1123 W. Mulberry St.,,Side of building which was destroyed,"Unknown; destroyed",N/A,,,"1123 W. Mulberry St.21223
(39.293288553858474, -76.63624580253708)",106,8,27632,d50e5e78-42d8-4613-9834-caa453b4d93f
131,Zadkine,Ossip,,"May, 1940:The Destroyed City",,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Dr.,,,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,7a59dcb0-0704-4015-8acc-b04f4a8577da
