OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
518,Ito,Saburo,https://data.baltimorecity.gov/views/5xsg-uc29/files/PwG5FHFVw1zinPWW3eqKjMSEIXsPeiohKa57z3hheHg?filename=752_Ito+S_+1984.jpg,Yuai,1984,stone,21230,Inner Harbor,,,"southside, east of Science Center","stone column and plaque from Baltimore's sister city, Kawasaki, Japan",Visible from within harbor,,,"21230(39.266940000000034, -76.62630000000001)",258,151,27953,4e78dcf7-9a2f-4f8a-810e-68ebc5d9db14
519,Whiting,Edmund,,Unknown,1972,copper,21230,Federal Hill ES,1040 Williams St.,PS  45,Entrance plaza,,,,,"1040 Williams St.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,51f50801-7104-4e1d-8d89-b0cda6532f9a
520,Berge (See Capellano original 1818),Henery,,Angel of Truth,1960,terra cotta,21201,First Unitarian Church,12 W. Franklin St. at Charles St.,,Entrance pediment,,,,,"12 W. Franklin St. at Charles St.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,6f85c2eb-b004-44d0-ba32-1fb242e88603
521,Schuler,Hans,,Star Spangled Banner,1914,bronze,21233,City Hall,100 Holliday St,,,,,,Y,"100 Holliday St21233
(39.2912, -76.60457999999994)",110,108,13645,088d909f-fb64-4de1-9c35-7b7ee50e0f4b
522,"Valk, III",Arthur D.,,Holocaust Memorial,,,21202,Gay and Water Streets,Gay and Water Sts.,,,,,,,"Gay and Water Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,8da7cd4d-cd43-464c-89c0-97817a83090b
523,Berge,Henry,,Father and Children,1954,concrete,21225,Cherry Hill Recreation Center,2700 Spelman Rd.,,,,,,,"2700 Spelman Rd.21225
(39.24715712417602, -76.62890291363138)",47,149,27937,04829c47-fa0e-4f29-90c8-04effe4a778c
524,Majorowicz,Roger,,Unknown,,stainless steel and alumi,21213,Dr. Bernard Harris Senior ES,1400 N. Caroline St.,PS 250,"Interior; auditorium",,,,,"1400 N. Caroline St.21213
(39.30681435717918, -76.5981235417151)",180,154,26956,2ac6be76-5c75-4309-88d9-3c13a0e719d1
525,Evergreen House,,,Biennial exhibition,ongoing,sculpture,21210,Evergreen House,4545 N. Charles St.,,On the grounds of the Evergreen House,Currently no artwork,N/A,,,"4545 N. Charles St.21210
(39.34749968578467, -76.62247718226854)",142,235,14004,945b8a87-661c-41f1-b81a-99f039d08f7f
526,Storey,Willam W.,https://data.baltimorecity.gov/views/5xsg-uc29/files/aZBtG4sxdOcxL4XOh8TP1xkINtlbbzld7mvmBKn300A?filename=316a_Storey+W_1890.JPG,George Peabody,1890,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,East of Monument,"George Peabody, seated",highly visible,outdoor accessible,Y,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,fb3132fc-f3c1-4d83-a86f-5c11af243164
527,Schuler,Hans,,Samuel Smith Monument,1917,bronze,21218,Johns Hopkins University,N. Charles St.,,Federal hill,,,,Y,"N. Charles St.21218
(39.33912699769189, -76.61835828737432)",99,28,27307,a2920478-9be1-436b-8921-31547f810d04
528,DuBois,Paul,https://data.baltimorecity.gov/views/5xsg-uc29/files/Cei80JiOZvuPWXwsUSFSZV6ptyrWbaPXS2rJvtFipn8?filename=458_Dubois+P_1885.JPG,Military Courage,1885,bronze,21201,Mount Vernon Place West Garden,Mount Vernon Pl.,,West of Monument,Seated Roman Soldier,Highly visible,Outdoor acessible,,"Mount Vernon Pl.21201
(39.29730928950913, -76.61563717252402)",165,92,13645,7a334b7a-8da4-48d6-99a2-0782c4e041d4
529,Hosler,Danamarie,,,2008,mural,21218,21st street & Boone,548 East 21st Street,,"Side of rowhouse, garden infront",stylized children and plants,Very Visible,,,"548 East 21st Street21218
(39.31359634135141, -76.60923370933864)",73,157,27307,f8283b99-bbb6-47ad-9568-96068a750db9
530,Carfagno Ferguson,Mary,,,1998,mural,21213,1756 E. Preston St.,1756 E. Preston St.,,Side of building,Amtrak train and buildings,Visible,,,"1756 E. Preston St.21213
(39.30541141481342, -76.59271861631896)",23,100,26956,24eafc92-e743-4432-bcbb-1290a3793755
531,Marcks,Gerhard,,Prometheus Bound II,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,d3bbf8cd-cddf-41c8-902e-ae8c771cb029
532,unknown,,,Serviceman's Memorial,1945,,21211,Wyman Park Dr. and San Martin Dr.,Wyman Park and San Martin Dr.,,,,,,Y,"Wyman Park and San Martin Dr.21211
(39.33100999999999, -76.63518999999991)",102,20,14006,8e924b27-51ce-42c5-b061-aae69b81bcca
533,Carlberg,Norman,,Caterpillar,1976,corten steel,21209,Dallas Nichols ES,201 E. 21st Street,PS  39,Front of school,,,,,"201 E. 21st Street21209
(39.37230000000005, -76.66813000000002)",,,14001,378c58a1-7bad-480b-9ac7-7bcf9ee389e4
534,unknown,,,World War II Memorial Shaft,,,21217,Fifth Regiment Armory,219 W. Hoffman St,,,,,,,"219 W. Hoffman St21217
(39.31194000000011, -76.64039000000002)",195,19,27301,32886793-dbac-411a-9e2e-bb2ac139d888
535,Kaslow,Lisa,,Hi-Fly,1978,painted steel,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Entrance to the gymnasium,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,bf1bd3c9-674d-461b-bfe0-d1a1542e3951
536,Rinehart,William Henry,https://data.baltimorecity.gov/views/5xsg-uc29/files/Vq8I6TaAsql5H4C3cARYrgHIcvmONTmptbEyrhieC0U?filename=315_Rinehart+W_1887.JPG,Roger B. Taney,1887,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,Southern end of garden,,highly visible,outdoor accessible,Y,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,b663f832-d070-4ad2-b525-a3f6f9b48778
537,Mezensky,Andrew,,# 31,1976,painted steel,21217,Harriet Tubman ES,1807 Harlem Ave.,PS 138,Near entrance,,,,,"1807 Harlem Ave.21217
(39.29640920130015, -76.64665995163642)",106,88,27301,edfff58a-c554-48f1-a517-4b47c0caa87a
538,Evans,John,https://data.baltimorecity.gov/views/5xsg-uc29/files/Xh-xxlueXUleS395U-Flhy8id_nbdV9lcBTXk48ujlg?filename=532a_Evans+J_1906.jpg,Mercury and Commerce,1906,granite,21201,B & O Central Building,2 N Charles St.,,Over main entrance,,,,,"2 N Charles St.21201
(39.28984415048626, -76.61516569417029)",65,6,13645,b26bb0a6-e407-4c55-9a2e-4a5688755aad
539,Mason,Pontella,,,2007,mural,21205,2424 McElderry Street,2424 McElderry Street,,on side of building,,,,,"2424 McElderry Street21205
(39.29776877923117, -76.58289911054764)",141,125,13987,79ba7a4d-b588-4f88-b0e9-bfc9f6121391
540,Coe,Henry,,Unknown,1976,mural,21239,Lois T. Murray ES,1600 E. Arlington Ave.,PS 313,Interior,,,,,"1600 E. Arlington Ave.21239
(39.346581562929025, -76.58879696384052)",229,221,28564,2e580bbd-89c5-48bc-97eb-db8514e5bf47
541,Jones [Theo Alice Ruggles Kitson- SOS],George F.,,Spanish War Veterans Memorial [The Rifleman/Hiker],1943,bronze,21224,Pulaski Highway,Fayette and Lakewood Sts.,,Median,,,,,"Fayette and Lakewood Sts.21224
(39.2834400000001, -76.54115999999999)",203,135,27935,1fc50fa5-22ad-4646-bf7c-cfdf9e5733fc
542,Shalowitz,Frayda,,Seal,1977,bronze,21218,Margaret Brent ES,100 E. 26th St.,PS  53,Entrance to pre-school,,,,,"100 E. 26th St.21218
(39.31945812685201, -76.6159163457684)",277,32,27307,2c7b0318-9962-482d-8219-7b1fa6b7842d
543,Moore,Henry,,Conception,,,21201,Convention Center Lobby -SOLD,Convention Center Lobby - SOLD,,,,SOLD,SOLD,,"Convention Center Lobby - SOLD21201
(39.294880000000035, -76.62253999999996)",224,90,13642,6703a39e-b2c6-4036-8e70-b4a7b16fa830
544,Milkowski,Antoni,https://data.baltimorecity.gov/views/5xsg-uc29/files/NVcUjm0Cr0UDCPx00Vcl2LHQBKPlOb7DgEB_ZJw8sDs?filename=66_Milkowski+A_1969.JPG,The Diamond,1969,corten steel,21201,Mercantile Safe Deposit & Trust Company,2 Hopkins Plaza,,"On Liberty Street side, east of Mariner Arena",two corten chevrons that form a diamond in the center,highly visible,Outdoor accessible,,"2 Hopkins Plaza21201
(39.28941758078926, -76.61645033676308)",65,6,13642,5008c5c3-f35b-486a-9126-d4ab401c15da
545,Honeycutt,Brece,https://data.baltimorecity.gov/views/5xsg-uc29/files/vwYwuJoBKSbS48RFX74sWXQ6r4mmbkY4Y1hCRu1o2Eo?filename=701_Honeycut+B_2002.JPG,silence,2002,sculpture,21210,Bryn Mawr School,109 W. Melrose St.,,Located in courtyard by Margaret Hamilton Bldg. and dinning hall,Seven lecturns with binders,"Limited visibility; located on school grounds",,,"109 W. Melrose St.21210
(39.36557610689288, -76.62819068922511)",175,272,14004,a9116483-32ef-45ad-96d0-8fc32adf6f2d
546,Hilson,Harry,,Unknown,1969,"fiberglass, stainless ste",21214,Woodholme ES,7300 Moyer Ave.,PS 205,Courtyard center,,,,,"7300 Moyer Ave.21214
(39.35158999999999, -76.56538999999992)",136,224,27291,cba35a48-1aa6-4d12-ac5b-a8039fff5859
547,,,,Athena Parthenog,1902 (cast),Bronze,21212,Evergreen House (Johns Hopkins University),4545 North Charles St.,,Garden,,,,,"4545 North Charles St.21212
(39.3684100000001, -76.61570999999998)",37,271,14009,96a7f7f1-4627-4243-b6ee-0aac55ab4843
548,Balder,Alton B.,,Steel Henge,1977,"sculpture, painted steel",21223,Francis M. Wood Alternative HS,100 N. Calhoun St.,PS 178,"Exterior; front lawn",,,,,"100 N. Calhoun St.21223
(39.290491662347335, -76.63965423302812)",84,10,27632,effec9d3-49d6-46ad-918c-b18e2472aafc
549,Ihara,Michio,,Untitled,1978,stainless steel,21202,Verizon Building,1 E. Pratt St.,,,,,,,"1 E. Pratt St.21202
(39.28651665897786, -76.61419442637867)",241,3,13645,1e29d17d-7dbb-42f0-9482-f565e5a064ec
550,Brown,Joe,,Discus Thrower,1964,bronze,21218,"Athletic Center, Johns Hopkins University",3400 N. Charles St.,,Front of Newton center,,,,,"3400 N. Charles St.21218
(39.32913762457502, -76.61797969757966)",123,13,14004,c00582ab-5b52-43ec-b09e-246058bbd280
551,Schuler,Hans,,Pulaski Monument,1942,bronze,21231,Patterson Park,Eastern Ave and Linwood Dr.,,Patterson Park,,,,Y,"Eastern Ave and Linwood Dr.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,c8a29362-75ac-494d-aa9f-102c290def08
552,Henning,Herman,,Lady Baltimore,1880,limestone,21217,Cylburn Park,Cylburn Park Mt. Royal at Lennox St.,,West side of the garden,,,,,"Cylburn Park Mt. Royal at Lennox St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,e5898f34-0068-4693-ab0b-a870eba4e3e4
553,Smolens P.,Jacquin,,Untitled playground,1976,wood,21202,Inner Harbor Promenade,Key Highway,,Near Science Center,,,,,"Key Highway21202
(39.297300000000064, -76.60749999999996)",196,108,13645,bdc898cb-4299-4b73-acd3-e1f207d8ec5a
554,Niehaus,Charles Henry,,Francis Scott Key:Orpheus,1922,bronze,21230,Fort McHenry,Fort McHenry,,Middle of entrance road,,,,Y,"Fort McHenry21230
(39.266940000000034, -76.62630000000001)",258,151,27953,0404051c-bec2-4478-bdbc-eff2f4f65ff0
555,Fayson,John,,Unknown,1981,mural,21202,New Dormitory Building - Baltimore City Jail,410 E. Eager St.,,Interior,,,,,"410 E. Eager St.21202
(39.30133923757796, -76.60980641194865)",124,104,13645,900bec96-50d6-4ece-8320-1bb193cf23b7
556,DePalma and Daniel,Linda and Paul,https://data.baltimorecity.gov/views/5xsg-uc29/files/x48bOpqECAAmtJVEvGnnzyUNOM0txZSvsM5EJbzGkKY?filename=407_DePalma+L+and+Daniel+P_1991.JPG,Double Ganut,1991,aluminum and bronze,21201,15 W. Franklin St. Garage,15 W. Franklin St.,,Above garage entrance,"Chair, ball, and ladder like structure",Very visible,,Y,"15 W. Franklin St.21201
(39.295032461559764, -76.61572227669929)",65,6,13642,13f549d0-a9f5-4df3-a3a9-33d27bebd3e3
557,Majorowicz,Roger,,Fire Chariot,1972,bronze,21201,John Steadman Fire House,15 S. Eutaw St.,,Eutaw entrance,,,,,"15 S. Eutaw St.21201
(39.28852088289659, -76.6208013634401)",65,5,13642,2ba4d813-c394-4e54-b9ce-ce6409dde272
558,Kramer,Reuben,,Unknown,1968,bronze,21229,Rock Glen Jr. HS,5201 North Bend Rd.,PS  81,Interior,,,,,"5201 North Bend Rd.21229
(39.284350000000074, -76.69003999999995)",122,51,27950,4f34efde-018c-4539-b2fb-ea7757bacf29
559,Hilson,Harry,,Unknown,1969,fiberglass,21214,Woodholme ES,7300 Moyer Ave.,PS 205,Courtyard,,,,,"7300 Moyer Ave.21214
(39.35158999999999, -76.56538999999992)",136,224,27291,8b2d00e0-248e-4285-82ea-6676a3a87d1b
560,Barye,Antoine Louis,https://data.baltimorecity.gov/views/5xsg-uc29/files/w7GtyHTYAVrXglqibaVMLe9ci_OuCXDmsMmw3araJk0?filename=426_Barye+A_1885.JPG,War,1885,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,E corner of Washington Monument,,highly visible,outdoor accessible,,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,840db6c1-50cd-4301-b59a-d5eda4c8d52b
561,Somaini,Francesco,,Human Will and Energy,1970,bronze,21797,Baltimore RESCO Plant,1801 Old Annapolis Rd.,,,,,,Y,"1801 Old Annapolis Rd.21797
(39.320773984245065, -77.1075181026818)",,,15468,7e81f142-04fd-441f-a951-79c721234b5d
562,McCausland,Montgomery & Wendy,,Unknown,1980,acrylic,21207,Forest Park HS,4300 Chatham Rd.,PS 406,Interior windows,,,,,"4300 Chatham Rd.21207
(39.33075965705877, -76.68973533631352)",38,64,13995,00b00d6f-c86e-424f-bd55-7efffdda68b8
563,Bufano,Benjamin,,Elephant,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,ca0cda1b-cd3c-4def-99b6-affbedcc34fd
564,MICA and HEBCAC,,,,2002,mural,21205,Parking lot of North East Market,600 Block of N. Duncan St,,Side of builiding,"Life in North East; two scenes: a jazz club and grocery/ soda fountain street scene",Visible,,,"600 Block of N. Duncan St21205
(39.302410000000066, -76.56324999999987)",181,145,13987,8c2ff58f-39e9-4c34-9954-43d63bb96602
565,unknown,,,Grove of Rememberance,1919,,21217,Druid Hill Park,Druid Hill Park,,,,,,Y,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,19c6ae1b-9442-4445-a666-cf1e4d89bea3
566,Thigpen,Duane,,Unknown,1980,mural,21212,Winston MS,1101 Winston Ave.,PS 209,Interior,,,,,"1101 Winston Ave.21212
(39.34901054679392, -76.59960742306345)",127,217,14009,eafc275d-c582-4987-b1ca-a773aaa89981
567,Rinehart,William Henry,,William T. Walters,1867 orig. 1907 replica,bronze,21202,Walters Art Gallery,Thomas Johnson Recreation Center,,,,,,,"Thomas Johnson Recreation Center21202
(39.297300000000064, -76.60749999999996)",196,108,13645,ee1ac57a-5100-4b91-96c0-858d8eeb3035
568,Rothschild,Amalie,,Unknown,1980,acrylic windows,21207,Forest Park HS,4300 Chatham Rd.,PS 406,Interior,,,,,"4300 Chatham Rd.21207
(39.33075965705877, -76.68973533631352)",38,64,13995,1f90e27c-2463-496a-bdce-0e4498d663e7
569,Majorowicz,Roger L.,,Paestum,1969,stainless steel and bronz,21231,Broadway Branch Library,1700 Orleans St.,,Corner of Orleans and Broadway,,,,,"1700 Orleans St.21231
(39.295367113283696, -76.59393110179518)",70,121,27954,899a4f01-feb5-48bd-a0d6-0d245755a611
570,Peterson,Harvey,,Unknown,1978,mural,21216,Dr. Lillie M. Jackson ES,1501 Ashburton St.,PS 315,Interior,,,,,"1501 Ashburton St.21216
(39.30571153916098, -76.66196778910346)",166,82,27297,34600678-add2-4c6d-ba5d-3614323de6c6
571,Treib,Marc E.,https://data.baltimorecity.gov/views/5xsg-uc29/files/Z_jFvyahrZkLknzogN0XLSss-sacrrFsHZMuDXui-N0?filename=517_Treib.jpg,Relay,,,21207,"North Avenue Station, subway",,,,,,,,"21207(39.32364999999999, -76.72009000000003)",,,13995,49416db0-764b-48af-8dc5-e30609c7446d
572,Lipschitz,Jacques,,Mother and Child,1930,bronze,,Auctioned in 1993/ private Jewish Community Center,Auctioned in 1993/ Jewish Community Center,,Auctioned in 1993 Private?,,,,,Auctioned in 1993/ Jewish Community Center,,,,2979ef88-5c10-49ff-9f09-fe9a958eaae0
573,"Kinoshita, principal designer","Sasaki Associates, Masao",,J. Jefferson Miller Fountain,1976,,21202,Charles Center,100 N Charles St,,,,,,Y,"100 N Charles St21202
(39.297300000000064, -76.60749999999996)",196,108,13645,20b697f5-3b93-45f5-81e6-47ee9fb72b4f
574,Steinmetz,William,,Unknown,1973,sculpture,21206,Moravia Park ES,6201 Moravia Pkwy.,PS 105,Interior,,,,,"6201 Moravia Pkwy.21206
(39.33913000000001, -76.53692000000001)",46,210,13991,c6053c3e-75d6-4a91-a5d5-f381822ce0a2
575,Duffy (W. Kirwin Architect),William Francis,,Boy Releasing Bird,1989,cast iron,21207,Carrie Murray Outdoor Learning Center,4921 Windsor Mill Rd.,,Behind nature center,,,,,"4921 Windsor Mill Rd.21207
(39.30959326224968, -76.70113188695109)",245,57,13995,c35c0df8-6392-4c38-bf83-3dd39052aa65
576,"W.J. Dale and Son, designers",,,Saint-Lo Drive Memorial,1947,,21213,St Lo Dr. and Sinclair Ln.,St Lo Dr. and Sinclair Ln.,,,,,,Y,"St Lo Dr. and Sinclair Ln.21213
(39.31426973680203, -76.59055125022837)",226,155,26956,b2fe3609-e668-4a19-8818-c8732991715f
577,Maynard,Valarie,,Unknown,1977,quarry tile floor,21215,Lower Park Heights Multi-purpose Center,3939 Reisterstown Rd.,,Interior,,,,,"3939 Reisterstown Rd.21215
(39.33336234348411, -76.66365713799019)",232,70,27295,64cb0e4d-24b2-4249-89a1-f2b8508d81eb
578,Frank,Jane,,The Family,1977,aluminum plate,21223,Originally Samuel Morse ES,424 S. Pulaski St.,PS  98,Was vandalized and removed to be placed at another location,,,,,"424 S. Pulaski St.21223
(39.28234596716267, -76.64979391746418)",36,279,27632,ffe18756-72e6-4372-8af2-b13a73edf866
579,Rauschenberg,Robert,,Bank Job,,,21201/2,Equitable Bank Center,Lombard and Charles Sts. - GONE,,Lobby,No longer there,,,,"Lombard and Charles Sts. - GONE21201/2
(39.294880000000035, -76.62253999999996)",224,90,13642,387d8624-0c3d-4629-9ffe-1ab1fa1bbd5a
580,Wells,Betty,,Unknown,1973,galvanized playground str,21215,Towanda Recreation Center,4100 Towanda Ave.,,Exterior - Towanda and Aswego,,,,,"4100 Towanda Ave.21215
(39.33504078211094, -76.66643772776918)",232,70,27295,355d5956-167d-4adf-96c7-6d4c5e78e36f
581,Miller,Tom,,,1998,mural,21225,600 Cherry Hill Rd.,600 Cherry Hill Rd.,,Side of building,Various self portraits,Visible,,,"600 Cherry Hill Rd.21225
(39.25000418458825, -76.62289087040199)",47,146,27937,ce2c704d-f156-4ac9-aae2-663d6abe6ea9
582,Kaslow,Lisa,,Unknown,,stained glass,21224,Hampstead Hill ES,500 S. Linwood Ave.,PS  47,"Interior; library",,,,,"500 S. Linwood Ave.21224
(39.285770221693554, -76.57576639606668)",30,114,27935,4ccf5266-4d10-47b6-9a70-fdd6a18b17dc
583,Marcheschi,Cork,,,2007,"sculpture - neon, aluminum & resin",21224,SE. Anchor Branch of the Enoch Pratt Library,3601 Eastern Avenue,,Starts outside front entrance of building & goes into artium,"Encased neon outside that leads to indoor element; 5 colorful resin pods that are illuminated",Very Visible,,N,"3601 Eastern Avenue21224
(39.286642564061935, -76.56680914865484)",109,140,27935,80981f25-1313-4c26-8e94-392468f18cb4
584,Lewis,James,https://data.baltimorecity.gov/views/5xsg-uc29/files/VDZpcj0-M_wQdkgmMFTRQ6H7dJKSVZglFZpMHsyFVKw?filename=44_Lewis_1971.jpg,Negro Soldier,1971,bronze,21202,City Hall,100 Holliday St,,Entrance,,,,,"100 Holliday St21202
(39.290590587770566, -76.61021942300914)",65,6,13645,979f0dc0-86ef-461a-92c6-43dfed576c56
585,Marti,Jose,,Unknown,1998,,21231,Broadway and Fayette Sts.,Broadway and Fayette Sts.,,"Unknown; knocked down due to construction","Unknown; knocked down due to construction",N/A,,Y,"Broadway and Fayette Sts.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,a7621ce0-30a8-4a3a-8b20-af696355f1d7
586,du Fayette,Pierre,,Mr. Sun and Mr. Moon,1968,concrete and rubber,21205,Claremont School,5301 Erdman Ave.,PS 307,Wall west of entrance,,,,,"5301 Erdman Ave.21205
(39.3038286080419, -76.55482118600429)",6,145,13987,3de7a487-6922-4160-9c9d-abbc569c31f6
587,Carroll,Rodney,,Subvator,1989,"steel, aluminum, cable,castconcrete",21230,Spring Garden Business Park,175 W. Ostend St.,,,,,,,"175 W. Ostend St.21230
(39.27487043869843, -76.6187719755078)",227,174,27953,20471100-4436-43ff-9575-94cea0ed6dd0
588,Carroll,Rodney,https://data.baltimorecity.gov/views/5xsg-uc29/files/k5ui1Z4_c3NDE4zwAb_mSNoYN1UrwrE7p20reYseVk8?filename=693e_Carroll+R_2005.JPG,Firebird,2005,sculpture,21201,Symphony Center Plaza,1040 Park Ave.,,Near Meyehoff Symphony Hall,Poetic interpretation of Igor Stravinsky's 1910 ballet suite The Firebird,Very visible from street,,,"1040 Park Ave.21201
(39.304242296175346, -76.62025585685615)",151,95,13642,2a429bf2-cd84-4227-932d-01406c3d8bf5
589,Thorwaldsen,Bertel,https://data.baltimorecity.gov/views/5xsg-uc29/files/VM3uZOsU0cK3AzTmCBucTQx2meSd164uD_v5bStqRe0?filename=514_Thorwaldsen.jpg,The Divine Healer,,,21287,Johns Hopkins Hospital,Johns Hopkins Hospital,,"Lobby, Administration Building",,,,,"Johns Hopkins Hospital21287
(39.2912, -76.60457999999994)",110,108,13645,f1853cda-d13e-4198-ab1c-948077884634
590,Phillips Stained Glass Studio,,,Unknown,1972,stained glass mobile,21213,Luther Craven Mitchell Primary Center,1731 E. Chase St.,PS 135,Interior,,,,,"1731 E. Chase St.21213
(39.303289014824315, -76.59300639936833)",152,127,13987,fa2bbd6e-503d-499d-8fbc-fac644934592
591,Monastario,Eric,,Cultura,2000,mural,21231,412 S. Broadway,412 S. Broadway,,Side of building,"Latino scene, including guitar player, mother, father, child and cow; ""Cultura""",Visible (on Broadway),,,"412 S. Broadway21231
(39.286183909827, -76.5936179383483)",68,109,27954,7c184f23-c98a-457e-bf14-e4e0cd2dcc0d
592,Rattigan,Jenn,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,a2639bda-ecf6-49dc-a147-9fbc9df03259
593,Weinman,Adolph A.,,BMA Relief - 'To the Fine Arts',1930,limestone,21218,Baltimore Museum Of Art,10 Art Museum Dr.,,Relief in front of museum,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,25b8398f-1e28-4888-ab23-f1376241efdf
594,Mason,Pontella,,Unknown,1983/08,mural,21217,Booker T. Washington ES,1301-1305 McCullough St.,PS 130,Interior,,,,,"1301-1305 McCullough St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,bbc1dc78-4471-443c-a122-d05a703a0769
595,Cohen and Community Youth,Jay Wolf Schlossberg,,,2002,mural,21223,Monroe St. and Lauretta Ave.,Monroe St and Lauretta Ave.,,Side of building with park,Calls for peace and non-violence in community,Limited visibilty as inside park area,,,"Monroe St and Lauretta Ave.21223
(39.29449364537777, -76.64727149061633)",106,88,27632,920ddf3d-d9bf-445a-845d-81c910c97595
596,Richardson,Michael,,Untitled,,,21229,Thomas Johnson Recreation Center,1610 Johnson St.,,,,,,,"1610 Johnson St.21229
(39.284350000000074, -76.69003999999995)",122,51,27950,a6ec80b1-e32b-4675-8778-90516d13b852
597,Streett,Tylden,,Unknown,,bronze coated steel,21230,Lakeland ES,2921 Stranden Rd.,PS  12,"Interior; second floor, near west stairwell",,,,,"2921 Stranden Rd.21230
(39.254161262019814, -76.64520850795124)",134,162,27953,00d7f945-5d47-41cf-aae4-bb493369ab41
598,Hofmann,Earl F.,,Unknown,1969,ceramic tiles,21218,Cold Stream Park ES,1400 Exeter Hall Ave.,PS  31,"Interior; entrance wall",,,,,"1400 Exeter Hall Ave.21218
(39.32036714016073, -76.60166687051054)",54,179,27307,337af031-a4e9-4284-b7de-16ce5f97df95
599,Minguzzi,Luciano,,The Contortionist,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,d2121ec4-aaaa-4dc2-95b9-b95c05335697
600,Mezensky,Andrew,,Unknown,,,21217,Fulton ES,Harlem Ave. and Monroe St.,,,,,,,"Harlem Ave. and Monroe St.21217
(39.29638222163925, -76.64735242959898)",106,88,27301,96e973cb-99d2-48db-99f6-737e7da106d6
601,Saffell,Edward,,Unknown,1973,mural,21231,Patterson Park Recreation Center,2600 E. Baltimore St.,,Interior,,,,,"2600 E. Baltimore St.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,079ed12a-dc1f-431a-bb99-735d1cabd9c0
602,Mullen,Gary,,,2008,mural,21218,Giant Foods at 33rd and Greenmount,601 East 33rd Street,,two murals on side of building facing 33rd,collage of food and Baltimore Icons,Very Visible,,,"601 East 33rd Street21218
(39.328317146899735, -76.6077462874286)",251,181,27307,eeb3fc10-7a27-4506-bfbe-4936ba0c8b94
603,Birchler,Susan,,,1987,mural,21225,Cherry Hill,600 Cherry Hill Rd.,,,,,,,"600 Cherry Hill Rd.21225
(39.25000418458825, -76.62289087040199)",47,146,27937,5f2097e5-0d22-4c88-a382-26e56aa799b3
604,Alexander,Pat,,Oasis,1987-89,ceramic tile,21217,Druid Hill Park Swimming Pool,Druid Hill Park,,Pool floor,Artist's Design incorporated in Ceramic tile,,,,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,61d934ad-9328-4133-b077-f06e88554a4b
605,Johnson,Gerald,,Unknown,1997,photographic display case,21212,Guilford ES,4520 York Rd.,PS 214,"Interior; main entrance lobby",,,,,"4520 York Rd.21212
(39.3440443106837, -76.60963380775476)",99,205,14009,72b83cf7-5429-4b48-99e9-87479f2ce997
606,Capellano (See Berge reproduction 1960),Antonio,,Angel of Truth,1818,terra cotta,21201,First Unitarian Church,12 W. Franklin St. at Charles St.,,Entrance pediment,,,,,"12 W. Franklin St. at Charles St.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,ba1a811b-b451-4644-aebb-ec9429c52fdc
607,Bannon,John,,Unknown,1978,mural,21230,Sharp-Leadenhall School,Sharp and Leadenhall Sts.,PS 314,Interior,,,,,"Sharp and Leadenhall Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,5ae81d89-fc93-4e25-b05e-355d16fed85e
