X,Y,OBJECTID,id,address,downtown,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,city,state,zipcode,x_coord,y_coord,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,name,gis_id,globalid,url,GlobalID_2
1431405.86325323,605037.86891705,112,126,2320 Mayfield Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21213,1431405.86325361,605037.86891593,Designated Landmarks,Mayfield,3,24510801011005,4,NORTHEASTERN,18S UJ 63893 54278,Jamie Williams,4103964106,Department of Planning,Saint Matthew United Church of Christ,38_116,{B1EBEBCB-48CC-4458-B5F8-F3397F6D53B4},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,f48441b5-465a-4769-a084-1662b3619928
1417622.98301066,595713.170046806,113,131,1219 Druid Hill Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1417622.98301102,595713.17004568,Designated Landmarks,Upton,11,245101702001014,1,CENTRAL,18S UJ 59631 51530,Jamie Williams,4103964106,Department of Planning,Union Baptist Church,38_117,{0853191D-11A8-46C5-B6EE-5CD36DD0C925},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,5ddea39b-8327-4689-ba87-b899c7129c00
1414689.25987548,593767.96593199,114,132,639 North Carey Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1414689.25987586,593767.96593084,Designated Landmarks,Harlem Park,11,245101601004006,7,WESTERN,18S UJ 58724 50957,Jamie Williams,4103964106,Department of Planning,Dr. John E.T. Camper House,38_118,{6B54B4C4-32F6-4165-8310-9B8E1A1550A8},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,308486f8-4106-4090-86b4-43e81998cb2e
1409316.80080415,613111.565368082,115,130,4901 Springarden Drive,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21209,1409316.80080453,613111.56536693,Designated Landmarks,Coldspring,6,245101308051004,5,NORTHERN,18S UJ 57217 56887,Jamie Williams,4103964106,Department of Planning,Ruscombe Mansion,38_119,{0A7C7A01-2754-414F-B23A-B661B62BA6FF},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,36968f1c-7add-4c68-a0d5-35e89d837535
1427348.52261465,585027.284594487,116,129,1308 Beason Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21230,1427348.52261503,585027.28459335,Designated Landmarks,Locust Point Industrial Area,10,245102401001012,9,SOUTHERN,18S UJ 62522 48209,Jamie Williams,4103964106,Department of Planning,Christ Church United Church of Christ,38_120,{2A816B3E-EEFE-4CF5-A7C3-988BCF954AAA},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,4451cb6d-3652-4713-80d9-5a2c8f98bf33
1430487.26568099,594468.086578973,117,128,622 North Milton Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21205,1430487.26568136,594468.08657784,Designated Landmarks,McElderry Park,13,24510702004002,2,SOUTHEASTERN,18S UJ 63542 51064,Jamie Williams,4103964106,Department of Planning,Johnny Eck House,38_121,{FF2B43FA-2E86-437C-ABA9-7CB85CB914A3},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,2d0023f9-4911-46db-b068-be2f5008fcb0
1426309.97515107,604557.45747632,118,127,3220 The Alameda,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1426309.97515143,604557.45747518,Designated Landmarks,Coldstream Homestead Montebello,14,24510905001000,4,NORTHEASTERN,18S UJ 62337 54166,Jamie Williams,4103964106,Department of Planning,Baltimore City College,38_122,{0E9D2B9B-7A76-4735-A7CA-A0C09E9E68B1},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,0cd049a9-a6b5-4054-a1d5-12d7b9c55f0c
1426444.62448807,599018.530890133,119,114,1801 N Bond St,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21213,1426444.62448844,599018.53088901,Designated Landmarks,Oliver,12,24510806006005,3,EASTERN,18S UJ 62341 52478,Jamie Williams,4103964106,Department of Planning,New Life Missisonary Baptist Church,38_123,{3FBDDDDA-4630-4303-A409-AD296315BB12},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,4ecc9a96-fc55-4cd0-8b7c-d6770e8a3317
1418499.01931631,613369.765967137,120,115,4604 N Charles St,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21210,1418499.01931669,613369.76596601,Designated Landmarks,Blythewood,6,245102711021000,5,NORTHERN,18S UJ 60017 56904,Jamie Williams,4103964106,Department of Planning,Cedarwood,38_124,{ED6A1A9F-D8B5-4D04-A3BC-8B08D20B4DD8},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,3d35d534-d1c2-41a9-9143-bc419508c1be
1416155.53811091,596882.757602644,121,116,514 Islamic Way,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21217,1416155.53811127,596882.75760151,Designated Landmarks,Upton,11,245101402002003,1,CENTRAL,18S UJ 59192 51896,Jamie Williams,4103964106,Department of Planning,Masjid Al Haqq,38_125,{EDEEDA15-ED27-4E3E-9671-986E0DE91874},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,476cb25c-9804-4142-94fc-0672f38dae76
